Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,MeanWorkingHours,WorkDays,OverTimeFrequency
36,No,Travel_Rarely,Research & Development,28,1,Life Sciences,12,Male,1,Laboratory Technician,Married,33770,0.0,12,2,16.0,2,15,10,11,3,3,3.0,4.0,3.0,7.06895458736745,241,0.0
55,No,Travel_Rarely,Research & Development,14,4,Life Sciences,13,Female,1,Sales Executive,Single,55380,0.0,17,0,37.0,2,36,4,13,3,3,4.0,1.0,3.0,9.301409509946627,229,1.0
47,Yes,Non-Travel,Research & Development,1,1,Medical,14,Male,1,Research Scientist,Married,57620,1.0,11,2,10.0,4,10,9,9,2,3,1.0,2.0,2.0,9.399931442080378,235,1.0
28,No,Travel_Rarely,Research & Development,1,3,Life Sciences,15,Male,1,Manufacturing Director,Married,25920,1.0,14,0,5.0,2,5,0,4,3,3,4.0,4.0,2.0,6.08968764407561,241,0.0
37,No,Travel_Rarely,Research & Development,1,3,Life Sciences,16,Male,2,Healthcare Representative,Married,53460,4.0,11,0,7.0,2,5,0,1,3,3,3.0,4.0,4.0,6.705174636661979,237,0.0
21,No,Travel_Rarely,Research & Development,3,2,Life Sciences,17,Male,1,Laboratory Technician,Single,42130,1.0,12,3,3.0,3,3,1,0,2,3,4.0,3.0,4.0,6.619040626529614,227,0.0
37,No,Non-Travel,Research & Development,1,3,Medical,18,Male,2,Sales Executive,Divorced,41270,2.0,13,1,15.0,2,5,0,2,3,3,1.0,4.0,3.0,11.014328139114726,246,1.0
35,No,Travel_Rarely,Sales,7,4,Life Sciences,19,Male,1,Sales Representative,Divorced,24380,7.0,16,0,10.0,5,7,6,2,2,3,2.0,2.0,2.0,6.960253831417625,232,0.0
38,No,Travel_Rarely,Research & Development,8,3,Life Sciences,20,Female,1,Manager,Divorced,68700,1.0,11,1,8.0,5,8,7,7,3,3,1.0,1.0,3.0,9.293555796055795,231,1.0
26,No,Travel_Frequently,Research & Development,1,4,Other,21,Male,2,Laboratory Technician,Divorced,104470,1.0,18,0,6.0,3,6,1,4,3,3,3.0,2.0,1.0,7.590778256704982,232,0.11637931034482758
50,No,Travel_Rarely,Sales,8,4,Life Sciences,22,Male,1,Research Scientist,Divorced,96670,3.0,23,0,28.0,2,10,1,6,2,4,1.0,2.0,2.0,6.008613495469718,233,0.0
53,No,Travel_Rarely,Research & Development,11,4,Life Sciences,23,Female,2,Research Scientist,Married,21480,3.0,11,0,21.0,2,5,1,3,3,3,3.0,3.0,2.0,8.402108477011494,232,0.9051724137931034
42,No,Travel_Rarely,Research & Development,4,4,Life Sciences,24,Male,1,Manufacturing Director,Married,89260,1.0,14,0,10.0,4,20,11,6,1,3,2.0,3.0,3.0,6.8070052800734615,242,0.0
29,No,Travel_Frequently,Research & Development,16,4,Medical,25,Male,1,Laboratory Technician,Single,65130,1.0,11,1,10.0,2,10,0,9,3,3,2.0,4.0,2.0,7.093167388167388,231,0.004329004329004329
55,No,Travel_Rarely,Research & Development,1,4,Other,26,Female,1,Research Scientist,Married,67990,3.0,11,0,12.0,2,10,0,8,3,3,2.0,4.0,3.0,9.362002074688798,241,1.0
26,No,Travel_Frequently,Research & Development,9,3,Life Sciences,27,Female,1,Manager,Married,162910,1.0,22,0,5.0,3,5,3,3,3,4,1.0,1.0,3.0,10.977123430962344,239,1.0
37,No,Travel_Rarely,Sales,5,1,Marketing,28,Male,1,Research Scientist,Single,27050,1.0,11,0,17.0,2,17,5,7,3,3,4.0,4.0,3.0,7.604444444444445,236,0.09322033898305085
44,Yes,Travel_Frequently,Research & Development,1,2,Medical,29,Male,2,Research Scientist,Divorced,103330,3.0,14,1,19.0,2,1,0,0,2,3,4.0,3.0,1.0,10.97758573388203,243,1.0
38,No,Travel_Rarely,Sales,2,3,Marketing,30,Female,1,Manager,Divorced,44480,9.0,12,0,10.0,3,2,1,2,2,3,4.0,4.0,3.0,6.8312753623188405,230,0.0
26,Yes,Travel_Rarely,Research & Development,4,3,Medical,31,Male,3,Research Scientist,Divorced,68540,2.0,11,0,5.0,5,3,0,2,2,3,1.0,2.0,3.0,10.109408263305323,238,1.0
28,No,Travel_Rarely,Research & Development,7,3,Other,32,Male,1,Human Resources,Single,96370,1.0,13,0,5.0,6,5,0,2,2,3,4.0,4.0,3.0,6.709665977961433,242,0.0
49,No,Travel_Frequently,Research & Development,1,1,Medical,33,Female,2,Research Scientist,Single,35910,9.0,13,0,22.0,2,3,1,2,3,3,3.0,1.0,3.0,10.518214624881292,234,1.0
36,No,Travel_Rarely,Sales,5,3,Technical Degree,34,Male,3,Sales Executive,Single,54050,4.0,14,0,10.0,2,8,7,7,3,3,3.0,2.0,3.0,6.182887517146776,243,0.0
31,No,Travel_Frequently,Research & Development,9,4,Medical,35,Male,1,Sales Executive,Divorced,46840,1.0,16,1,2.0,4,2,2,2,3,3,4.0,2.0,2.0,6.586388888888888,240,0.0
26,Yes,Travel_Rarely,Research & Development,8,3,Medical,36,Male,2,Manager,Single,157870,1.0,12,2,8.0,5,8,7,4,3,3,4.0,4.0,3.0,10.272241379310346,232,1.0
37,No,Travel_Frequently,Sales,9,1,Marketing,37,Male,1,Laboratory Technician,Married,15140,1.0,14,0,4.0,3,4,1,2,3,3,2.0,4.0,2.0,9.982733011937558,242,1.0
42,No,Travel_Frequently,Sales,2,2,Marketing,38,Male,3,Research Director,Married,29560,5.0,13,0,23.0,2,20,4,8,3,3,3.0,2.0,4.0,5.979567632850242,230,0.0
18,Yes,Travel_Rarely,Research & Development,1,4,Life Sciences,39,Male,1,Sales Executive,Single,23350,1.0,14,2,0.0,3,0,0,0,2,3,3.0,3.0,3.0,6.775967939304944,227,0.0
35,No,Travel_Rarely,Sales,20,2,Life Sciences,40,Male,1,Laboratory Technician,Married,51540,0.0,19,0,12.0,2,11,6,9,2,3,3.0,2.0,2.0,7.690160390516039,239,0.14225941422594143
36,No,Travel_Frequently,Research & Development,8,3,Other,41,Female,3,Sales Executive,Married,69620,4.0,12,2,4.0,2,1,0,0,2,3,3.0,3.0,3.0,7.204732468123862,244,0.0
51,No,Travel_Rarely,Research & Development,2,3,Life Sciences,42,Male,2,Laboratory Technician,Divorced,56750,5.0,13,0,13.0,2,4,1,2,2,3,4.0,2.0,3.0,7.594769503546099,235,0.11063829787234042
41,No,Travel_Rarely,Research & Development,29,1,Life Sciences,43,Male,1,Laboratory Technician,Single,23790,1.0,12,0,22.0,6,22,0,4,3,3,4.0,2.0,3.0,6.95264233241506,242,0.0
18,No,Travel_Rarely,Sales,7,3,Life Sciences,44,Male,1,Research Scientist,Single,38120,1.0,15,0,0.0,3,0,0,0,3,3,4.0,3.0,3.0,7.008878472222222,240,0.0
28,No,Travel_Rarely,Research & Development,9,3,Medical,45,Male,1,Sales Representative,Single,46480,0.0,23,2,9.0,2,8,0,7,2,4,2.0,1.0,3.0,7.201573315118397,244,0.004098360655737705
31,No,Travel_Rarely,Research & Development,8,1,Technical Degree,46,Male,1,Manufacturing Director,Married,29360,4.0,12,1,10.0,2,8,7,7,3,3,2.0,4.0,2.0,7.1728749999999994,240,0.008333333333333333
39,No,Travel_Rarely,Sales,5,4,Marketing,47,Female,2,Human Resources,Divorced,21050,0.0,20,0,19.0,3,18,3,7,3,4,3.0,4.0,2.0,7.636801418439717,235,0.11914893617021277
36,No,Non-Travel,Research & Development,5,4,Life Sciences,48,Male,1,Sales Executive,Married,85780,7.0,21,0,11.0,4,9,0,8,3,4,2.0,2.0,3.0,7.83278129395218,237,0.2616033755274262
32,No,Travel_Rarely,Sales,2,3,Marketing,49,Male,2,Laboratory Technician,Married,27060,1.0,21,1,13.0,4,13,4,8,3,4,4.0,3.0,2.0,6.974765051395007,227,0.0
38,No,Travel_Rarely,Research & Development,5,2,Life Sciences,50,Female,3,Research Scientist,Married,63840,3.0,19,2,19.0,4,10,0,1,2,3,1.0,2.0,3.0,6.906424220272905,228,0.0
58,No,Non-Travel,Research & Development,2,3,Life Sciences,51,Male,2,Manufacturing Director,Divorced,39680,2.0,13,2,12.0,3,5,1,2,2,3,4.0,3.0,3.0,10.895463728191,242,1.0
31,No,Travel_Rarely,Research & Development,20,1,Technical Degree,52,Female,3,Research Scientist,Married,99070,0.0,13,1,6.0,3,5,0,3,2,3,3.0,4.0,3.0,9.125665729020158,237,1.0
31,No,Travel_Rarely,Sales,7,4,Marketing,53,Male,2,Sales Executive,Married,132250,3.0,21,1,9.0,2,2,1,0,3,4,1.0,1.0,3.0,6.831459786145978,239,0.0
45,No,Travel_Frequently,Research & Development,3,1,Medical,54,Female,1,Sales Executive,Divorced,35400,1.0,13,0,24.0,6,24,9,11,3,3,1.0,1.0,3.0,7.3160499058380415,236,0.0211864406779661
31,No,Travel_Rarely,Sales,16,4,Marketing,55,Female,2,Research Scientist,Divorced,28040,0.0,19,2,3.0,0,2,2,2,3,3,3.0,4.0,1.0,8.610798041894354,244,0.9713114754098361
33,No,Travel_Frequently,Research & Development,9,3,Life Sciences,56,Male,4,Research Director,Married,193920,6.0,12,1,12.0,3,10,8,8,3,3,4.0,2.0,3.0,6.784845288326301,237,0.0
39,No,Travel_Rarely,Sales,1,4,Life Sciences,57,Male,1,Sales Executive,Married,196650,1.0,22,1,21.0,6,21,11,10,3,4,3.0,1.0,3.0,10.986099773242628,245,1.0
43,No,Travel_Frequently,Research & Development,7,4,Medical,58,Male,4,Research Scientist,Single,24390,0.0,15,0,9.0,2,8,1,7,3,3,3.0,4.0,3.0,7.68658467939305,227,0.17180616740088106
49,No,Travel_Rarely,Research & Development,1,3,Life Sciences,59,Male,3,Manufacturing Director,Single,73140,7.0,22,0,25.0,2,7,0,7,3,4,3.0,3.0,3.0,9.948856881572931,243,1.0
52,Yes,Travel_Rarely,Research & Development,7,1,Life Sciences,60,Female,2,Research Scientist,Married,47740,2.0,18,1,11.0,2,8,7,7,3,3,3.0,2.0,2.0,7.9055276615527665,239,0.3891213389121339
27,No,Travel_Rarely,Research & Development,15,4,Medical,61,Male,3,Research Scientist,Single,39020,1.0,22,0,4.0,2,4,1,2,3,4,3.0,2.0,2.0,10.672414617486337,244,1.0
32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,62,Male,3,Research Scientist,Married,26620,1.0,11,1,13.0,6,13,11,9,4,3,3.0,2.0,3.0,10.496171548117156,239,1.0
27,No,Travel_Rarely,Research & Development,13,2,Medical,63,Female,4,Research Director,Single,28560,1.0,12,2,5.0,5,5,0,4,4,3,4.0,3.0,3.0,10.069261664261665,231,1.0
31,No,Travel_Rarely,Sales,24,3,Life Sciences,64,Male,2,Healthcare Representative,Divorced,10810,4.0,11,3,13.0,4,7,1,7,4,3,4.0,4.0,3.0,6.607014174668495,243,0.0
32,No,Travel_Rarely,Research & Development,7,3,Technical Degree,65,Male,2,Healthcare Representative,Single,24720,7.0,13,0,10.0,2,7,0,7,3,3,1.0,4.0,2.0,7.497914908579466,237,0.05063291139240506
28,Yes,Travel_Rarely,Research & Development,9,4,Medical,66,Male,1,Sales Executive,Married,56730,5.0,14,1,5.0,4,3,2,2,2,3,1.0,4.0,2.0,10.727235717498877,247,1.0
30,No,Travel_Rarely,Research & Development,13,3,Life Sciences,67,Female,4,Research Director,Married,41970,1.0,13,0,11.0,3,10,1,9,3,3,4.0,4.0,3.0,6.184816810344828,232,0.0
31,No,Travel_Frequently,Research & Development,2,1,Life Sciences,68,Female,1,Manager,Married,97130,1.0,17,0,10.0,5,10,8,9,2,3,3.0,3.0,3.0,6.609300048947627,227,0.0
39,No,Travel_Frequently,Research & Development,19,4,Medical,69,Female,1,Research Scientist,Married,20620,1.0,13,0,21.0,4,21,13,3,3,3,3.0,4.0,3.0,6.07624634502924,228,0.0
39,Yes,Travel_Rarely,Research & Development,1,1,Medical,70,Female,1,Laboratory Technician,Married,42840,4.0,17,1,12.0,0,1,0,0,3,3,4.0,3.0,2.0,9.971745709123757,246,1.0
33,No,Travel_Frequently,Sales,4,2,Life Sciences,71,Male,4,Research Scientist,Single,47880,3.0,11,1,9.0,0,7,0,1,3,3,2.0,4.0,2.0,7.42145202020202,242,0.02066115702479339
47,No,Travel_Rarely,Research & Development,4,3,Life Sciences,72,Female,2,Healthcare Representative,Married,59060,4.0,23,0,21.0,4,3,1,1,4,4,4.0,3.0,3.0,6.493810013717422,243,0.0
43,No,Travel_Frequently,Research & Development,14,3,Medical,73,Female,5,Research Director,Divorced,38860,1.0,17,2,9.0,2,9,0,0,3,3,3.0,3.0,4.0,6.299470449172577,235,0.0
27,No,Non-Travel,Research & Development,2,3,Life Sciences,74,Male,1,Research Director,Married,168230,0.0,17,0,6.0,3,5,1,4,3,3,3.0,2.0,3.0,9.316973304473304,231,1.0
54,No,Travel_Frequently,Research & Development,1,4,Life Sciences,75,Male,2,Research Scientist,Single,29330,3.0,12,2,20.0,2,4,0,3,3,3,4.0,3.0,2.0,6.097862787356322,232,0.0
43,No,Travel_Rarely,Research & Development,7,2,Life Sciences,76,Female,2,Manager,Married,65000,8.0,23,0,10.0,3,1,0,0,3,4,3.0,1.0,2.0,7.217327264239029,238,0.0
45,No,Travel_Rarely,Sales,3,1,Marketing,77,Female,1,Sales Executive,Married,171740,9.0,14,1,12.0,6,10,9,8,3,3,4.0,4.0,3.0,7.100070018365472,242,0.0
40,No,Travel_Rarely,Research & Development,2,4,Other,78,Male,4,Research Scientist,Married,50330,2.0,14,2,6.0,6,4,0,2,3,3,2.0,4.0,2.0,9.914107744107746,231,1.0
29,Yes,Travel_Rarely,Research & Development,29,3,Medical,79,Female,1,Research Scientist,Married,23070,1.0,13,1,7.0,0,7,0,7,3,3,2.0,1.0,2.0,10.477788647342997,230,1.0
29,No,Travel_Rarely,Human Resources,8,3,Medical,80,Male,3,Sales Representative,Single,25870,0.0,22,2,4.0,3,3,2,2,3,4,2.0,4.0,3.0,6.906938633193863,239,0.0
30,No,Travel_Rarely,Research & Development,10,3,Life Sciences,81,Male,2,Research Scientist,Divorced,55070,1.0,12,2,10.0,2,10,1,2,2,3,4.0,3.0,3.0,7.58909243295019,232,0.08620689655172414
27,No,Travel_Rarely,Research & Development,11,2,Medical,82,Male,1,Manager,Married,43930,1.0,18,1,8.0,2,8,0,7,2,3,2.0,2.0,3.0,6.079724499089253,244,0.0
37,No,Travel_Rarely,Sales,1,4,Life Sciences,83,Male,2,Healthcare Representative,Divorced,133480,7.0,14,0,8.0,4,6,0,4,3,3,4.0,4.0,2.0,6.001112288135593,236,0.0
38,No,Travel_Rarely,Research & Development,28,4,Medical,84,Male,1,Laboratory Technician,Divorced,65830,0.0,12,0,12.0,1,11,2,9,3,3,3.0,4.0,3.0,8.983123278236915,242,1.0
31,No,Travel_Rarely,Research & Development,6,3,Medical,85,Female,3,Manager,Single,81030,1.0,15,1,11.0,5,11,4,10,3,3,3.0,4.0,3.0,10.426184640522877,238,1.0
29,No,Travel_Rarely,Research & Development,3,4,Life Sciences,86,Male,3,Sales Executive,Divorced,39780,1.0,11,0,7.0,0,7,1,7,3,3,4.0,2.0,3.0,8.387526183970857,244,0.9221311475409836
35,No,Travel_Rarely,Sales,16,2,Technical Degree,87,Male,3,Manager,Single,25440,0.0,13,1,17.0,3,16,0,13,4,3,3.0,2.0,3.0,7.9120386266094425,233,0.40772532188841204
23,No,Travel_Rarely,Research & Development,20,4,Life Sciences,88,Male,1,Manufacturing Director,Divorced,53990,1.0,23,0,4.0,2,4,0,2,2,4,3.0,4.0,2.0,7.105291842475386,237,0.004219409282700422
41,No,Travel_Rarely,Research & Development,9,2,Life Sciences,89,Female,1,Laboratory Technician,Single,54870,6.0,19,2,8.0,0,5,1,2,3,3,4.0,2.0,3.0,9.688633193863318,239,1.0
47,No,Travel_Frequently,Sales,1,3,Medical,90,Female,2,Laboratory Technician,Single,68340,3.0,16,1,5.0,2,0,0,0,4,3,2.0,3.0,3.0,7.770347512784752,239,0.2175732217573222
42,No,Travel_Rarely,Research & Development,3,4,Life Sciences,91,Male,1,Manager,Single,10910,2.0,22,0,16.0,0,1,0,0,1,4,1.0,4.0,3.0,6.284280356305673,237,0.0
29,No,Non-Travel,Sales,22,4,Marketing,92,Male,2,Human Resources,Married,57360,1.0,22,0,4.0,1,4,0,2,2,4,4.0,3.0,2.0,6.306108726752504,233,0.0
42,No,Travel_Rarely,Sales,7,4,Medical,93,Male,3,Research Scientist,Divorced,22260,0.0,12,1,4.0,3,3,1,0,2,3,3.0,3.0,3.0,8.831585038986356,228,0.9956140350877193
32,No,Travel_Rarely,Research & Development,2,3,Medical,94,Male,2,Research Scientist,Married,57470,1.0,13,0,8.0,0,8,0,7,3,3,3.0,2.0,3.0,7.722377344877344,231,0.19480519480519481
48,No,Travel_Rarely,Sales,13,4,Medical,95,Male,4,Sales Executive,Married,98540,3.0,16,1,15.0,2,0,0,0,2,3,1.0,3.0,1.0,7.317479732951836,233,0.004291845493562232
37,No,Travel_Rarely,Research & Development,8,5,Technical Degree,96,Male,2,Manufacturing Director,Divorced,54670,4.0,12,0,13.0,2,7,6,7,3,3,3.0,1.0,3.0,10.798262483130904,247,1.0
30,No,Non-Travel,Sales,25,4,Other,97,Male,1,Healthcare Representative,Married,53800,7.0,21,1,4.0,0,2,2,2,3,4,4.0,3.0,4.0,10.40136394557823,245,1.0
26,No,Travel_Rarely,Sales,28,3,Medical,98,Female,5,Laboratory Technician,Married,51510,1.0,15,3,8.0,3,8,7,7,3,3,3.0,3.0,3.0,5.994326703246457,243,0.0
42,No,Travel_Rarely,Sales,2,2,Medical,99,Female,1,Laboratory Technician,Single,21330,3.0,13,2,14.0,2,1,0,0,3,3,1.0,4.0,3.0,6.113110181311018,239,0.0
21,Yes,Travel_Frequently,Research & Development,9,3,Medical,100,Female,4,Manufacturing Director,Single,178750,1.0,12,0,3.0,5,3,1,2,2,3,1.0,2.0,3.0,8.133578096539162,244,0.6967213114754098
36,No,Non-Travel,Human Resources,28,3,Human Resources,101,Male,2,Laboratory Technician,Single,24320,4.0,22,0,7.0,4,1,0,0,1,4,4.0,4.0,3.0,7.306164990421457,232,0.008620689655172414
36,No,Travel_Frequently,Research & Development,6,3,Life Sciences,102,Female,2,Research Scientist,Married,47710,4.0,13,1,16.0,2,13,1,12,3,3,1.0,4.0,3.0,7.105030345471522,238,0.0
57,No,Travel_Rarely,Research & Development,21,4,Life Sciences,103,Male,5,Research Scientist,Married,191610,2.0,18,0,15.0,2,3,1,2,1,3,4.0,3.0,3.0,6.327729314420803,235,0.0
40,No,Travel_Rarely,Research & Development,8,3,Other,104,Male,2,Sales Executive,Married,50870,3.0,14,1,10.0,3,7,1,7,3,3,4.0,3.0,3.0,8.1285121602289,233,0.6652360515021459
21,No,Non-Travel,Research & Development,1,5,Life Sciences,105,Female,2,Manager,Single,28630,1.0,14,0,3.0,2,3,2,2,1,3,1.0,4.0,2.0,7.98643255701116,229,0.4672489082969432
33,Yes,Travel_Rarely,Human Resources,28,2,Human Resources,106,Female,5,Manager,Single,55610,1.0,21,1,1.0,3,1,0,0,1,4,4.0,3.0,3.0,10.509096921596921,231,1.0
37,No,Travel_Rarely,Research & Development,5,3,Life Sciences,107,Male,4,Research Scientist,Married,21440,6.0,19,0,17.0,3,5,0,3,4,3,3.0,1.0,3.0,7.9932840307840305,231,0.4675324675324675
46,No,Non-Travel,Sales,2,4,Marketing,108,Female,2,Laboratory Technician,Married,30650,2.0,11,0,7.0,3,1,0,0,3,3,3.0,3.0,4.0,6.103653752436647,228,0.0
41,Yes,Travel_Frequently,Research & Development,16,1,Medical,109,Female,1,Research Scientist,Single,28100,1.0,11,0,8.0,3,8,7,7,4,3,1.0,2.0,3.0,7.587908917501192,233,0.06437768240343347
50,No,Travel_Rarely,Research & Development,9,3,Medical,110,Female,3,Laboratory Technician,Single,98880,6.0,15,0,20.0,2,4,1,3,3,3,4.0,4.0,3.0,6.890321256038647,230,0.0
40,Yes,Travel_Rarely,Research & Development,8,3,Medical,111,Female,1,Healthcare Representative,Married,86280,2.0,20,0,8.0,2,6,1,0,2,4,3.0,3.0,3.0,9.295999525166192,234,1.0
31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,112,Male,4,Human Resources,Single,28670,0.0,24,0,3.0,5,2,2,2,3,4,3.0,2.0,3.0,10.806078364950316,246,1.0
21,Yes,Travel_Rarely,Human Resources,10,2,Human Resources,113,Male,1,Laboratory Technician,Single,53730,1.0,12,1,1.0,2,1,0,0,3,3,3.0,2.0,3.0,5.995219806763284,230,0.0
29,No,Travel_Rarely,Research & Development,1,3,Life Sciences,114,Female,2,Research Director,Single,66670,9.0,12,1,6.0,6,3,1,2,4,3,4.0,4.0,3.0,7.788609977324264,245,0.23265306122448978
35,No,Travel_Rarely,Research & Development,29,3,Life Sciences,115,Female,3,Sales Executive,Single,50030,9.0,15,0,10.0,2,1,0,0,3,3,3.0,2.0,3.0,7.71770715630885,236,0.15677966101694915
27,No,Travel_Rarely,Sales,2,3,Life Sciences,116,Male,1,Sales Executive,Divorced,23670,2.0,12,1,5.0,2,5,0,4,3,3,4.0,2.0,3.0,6.189450379867046,234,0.0
28,No,Travel_Rarely,Research & Development,2,2,Medical,117,Male,3,Manager,Single,28580,1.0,12,0,7.0,2,7,0,7,2,3,2.0,4.0,3.0,7.120614224137931,232,0.01293103448275862
49,No,Travel_Rarely,Sales,2,3,Technical Degree,118,Male,2,Manufacturing Director,Single,52040,8.0,14,1,26.0,3,5,0,0,3,3,2.0,3.0,3.0,7.825193287037036,240,0.29583333333333334
51,No,Travel_Rarely,Research & Development,1,2,Life Sciences,119,Male,1,Sales Executive,Married,41050,4.0,22,1,18.0,2,7,0,7,3,4,3.0,4.0,2.0,7.619401803118908,228,0.11842105263157894
36,No,Travel_Rarely,Sales,15,2,Life Sciences,120,Male,1,Sales Executive,Married,96790,4.0,12,0,6.0,1,2,2,2,3,3,4.0,3.0,3.0,6.002463200379866,234,0.0
34,Yes,Non-Travel,Research & Development,7,3,Life Sciences,121,Male,1,Sales Representative,Single,56170,8.0,25,1,9.0,3,5,0,4,3,4,1.0,4.0,2.0,9.11312647754137,235,1.0
55,No,Travel_Rarely,Sales,26,3,Marketing,122,Male,1,Laboratory Technician,Single,104480,2.0,13,0,30.0,3,5,1,2,3,3,3.0,4.0,3.0,8.684139595103577,236,0.9788135593220338
24,No,Travel_Rarely,Research & Development,1,3,Life Sciences,123,Female,5,Manager,Divorced,28970,1.0,18,3,5.0,4,5,0,3,3,3,4.0,3.0,4.0,9.993131642512077,230,1.0
30,No,Travel_Rarely,Research & Development,3,3,Life Sciences,124,Female,2,Manager,Married,59680,1.0,13,0,1.0,3,1,0,0,3,3,3.0,2.0,3.0,6.900539923039923,231,0.0
26,Yes,Travel_Frequently,Sales,14,3,Life Sciences,125,Male,2,Manager,Single,75100,0.0,18,3,7.0,3,6,0,4,3,3,3.0,3.0,3.0,6.99935763888889,240,0.0
22,No,Travel_Rarely,Research & Development,16,5,Other,126,Male,1,Research Scientist,Married,29910,1.0,19,2,2.0,3,2,1,2,2,3,1.0,2.0,3.0,6.2862301587301594,231,0.0
36,No,Travel_Rarely,Research & Development,1,3,Medical,127,Female,5,Healthcare Representative,Married,196360,1.0,12,1,10.0,3,10,9,0,3,3,2.0,3.0,3.0,6.3661511299435025,236,0.0
30,Yes,Travel_Frequently,Sales,3,2,Marketing,128,Male,3,Research Scientist,Single,11290,9.0,19,0,3.0,2,1,0,0,2,3,3.0,4.0,3.0,8.19166087962963,240,0.7291666666666666
37,No,Travel_Rarely,Research & Development,10,1,Technical Degree,129,Male,1,Sales Executive,Divorced,133410,1.0,14,1,18.0,3,18,12,17,3,3,4.0,1.0,2.0,6.4520891203703705,240,0.0
40,No,Travel_Rarely,Research & Development,6,2,Medical,130,Male,3,Research Scientist,Divorced,43320,7.0,14,2,8.0,3,5,1,3,2,3,4.0,2.0,3.0,6.682986714975844,230,0.0
42,No,Travel_Rarely,Research & Development,2,3,Medical,131,Female,4,Manager,Divorced,110310,3.0,12,1,8.0,2,5,1,2,2,3,2.0,1.0,3.0,7.4826477541371155,235,0.03829787234042553
37,No,Travel_Rarely,Sales,9,1,Marketing,132,Male,3,Sales Executive,Single,44400,2.0,11,1,18.0,3,1,0,1,2,3,3.0,2.0,2.0,9.920131519274378,245,1.0
43,No,Travel_Rarely,Sales,10,2,Life Sciences,133,Female,1,Sales Executive,Divorced,46170,1.0,11,0,25.0,2,25,3,9,3,3,1.0,2.0,3.0,7.415638297872341,235,0.00851063829787234
40,No,Travel_Rarely,Sales,6,2,Life Sciences,134,Female,1,Laboratory Technician,Married,26470,6.0,13,0,20.0,2,1,0,0,2,3,2.0,3.0,3.0,7.4953384687208215,238,0.04201680672268908
